Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2144,MITSUBISHI,LANCER,1989,1300,Manual,Petrol,396000,Matara,2/3/2025,No Leasing,USED,Available,Available,Available,Available,10.9
2145,MITSUBISHI,LANCER,1983,1400,Manual,Petrol,462000,Kandy,2/2/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,5.5
2146,MITSUBISHI,LANCER,2002,1460,Automatic,Petrol,253000,Homagama,2/1/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.875
2147,MITSUBISHI,LANCER,1987,,Manual,Petrol,418000,Kurunegala,2/1/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,5.75
2148,MITSUBISHI,LANCER,1980,1300,Manual,Petrol,495000,Matara,1/30/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,9.75
2149,MITSUBISHI,LANCER,1988,1450,Manual,Petrol,407000,Hatton,1/29/2025,No Leasing,USED,Available,Available,Available,Available,8.5
2150,MITSUBISHI,LANCER,1995,1300,Manual,Petrol,330000,Kandy,1/28/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,11.6
2151,MITSUBISHI,LANCER,1991,1300,Manual,Petrol,374000,Colombo,1/16/2025,No Leasing,USED,Available,Available,Available,Available,13
2152,MITSUBISHI,LANCER,1978,1400,Manual,Petrol,517000,Bandaragama,1/13/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,5.75
2153,MITSUBISHI,LANCER,1983,1390,Manual,Petrol,462000,Matara,1/12/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,8.25
2154,MITSUBISHI,LANCER,1983,1400,Manual,Petrol,462000,Gampaha,1/9/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,6.6
2155,MITSUBISHI,LANCER,1992,1500,Manual,Diesel,363000,Kalutara,1/5/2025,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,17
2156,MITSUBISHI,LANCER,1992,1879,Manual,Petrol,363000,Nuwara-Eliya,1/22/2025,No Leasing,USED,Available,Available,Available,Available,23.875
2157,MITSUBISHI,LANCER,1978,1400,Manual,Petrol,517000,Matugama,1/21/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,4.3
2158,MITSUBISHI,LANCER,1981,1400,Manual,Petrol,484000,Colombo,1/5/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.9
2159,MITSUBISHI,LANCER,1992,1800,Manual,Diesel,363000,Padukka,12/31/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,21
2160,MITSUBISHI,LANCER,1998,1500,Manual,Petrol,297000,Kurunegala,12/27/2024,No Leasing,USED,Available,Available,Available,Available,23.875
2161,MITSUBISHI,LANCER,1977,1400,Manual,Petrol,528000,Ja-Ela,12/27/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.5
2162,MITSUBISHI,LANCER,1990,1500,Manual,Petrol,385000,Gampaha,12/25/2024,No Leasing,USED,Available,Available,Available,Available,13.25
2163,MITSUBISHI,LANCER,2012,1299,Automatic,Petrol,143000,Warakapola,12/22/2024,No Leasing,USED,Available,Available,Available,Available,23.875
2164,MITSUBISHI,LANCER,1991,1800,Manual,Diesel,374000,Kurunegala,12/20/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,13
2165,MITSUBISHI,LANCER,1983,1400,Manual,Petrol,462000,Matara,12/19/2024,No Leasing,USED,Available,Available,Available,Not_Available,3.75
2166,MITSUBISHI,LANCER,1986,-1390,Manual,Petrol,429000,Homagama,12/17/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,9.9
2167,MITSUBISHI,LANCER,1985,1400,Manual,Petrol,440000,Welimada,12/16/2024,Ongoing Lease,USED,Available,Not_Available,Available,Not_Available,9.666666667
2168,MITSUBISHI,LANCER,1983,1500,Manual,Petrol,462000,Gampola,12/12/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.9
2169,MITSUBISHI,LANCER,1985,2470,Manual,Diesel,440000,Divulapitiya,12/11/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,6.5
2170,MITSUBISHI,LANCER,1978,1400,Manual,Petrol,517000,Malabe,12/6/2024,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,5.025
2171,MITSUBISHI,LANCER,1985,1500,Manual,Petrol,440000,Mahiyanganaya,12/5/2024,No Leasing,USED,Available,Available,Available,Available,9.5
